,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Dominicus P. Coppens,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,residentia ad leonardtown,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"F. Baxter, Franciscus Joannes",na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Audenus A. Barnum,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus P. Hill,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
 O'Connor,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"J. Byrne, Joannes S. Jacobus",na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael P Hollohan,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas G. Nolan,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Carolus B. Salter,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Daniel R. Macksey,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus M. Campbell,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gualterus S. Kelly,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus A. Gillespie,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium s. crucis,collegium baltimorense,collegium georgiopolitanum,collegium bostoniense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii
Joannes W. Kolb,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes A. Lamb,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hogan G. Aloysius,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus E. Fortier,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes O'Sullivan Clocker,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus A. Vigeant,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus A. Dowling,na,collegium maximum woodstockiense,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus B. Becker,na,collegium maximum woodstockiense,collegium fordhamense,collegium georgiopolitanum,domus probationis fridericopolitana,collegium caesariense sancti petri,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na,na,na
Joannes Brislan,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Frieden,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Timotheus O'Leary,na,collegium maximum woodstockiense,collegium fordhamense,collegium fordhamense,domus probationis fridericopolitana,collegium georgiopolitanum,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium fordhamense,collegium bostoniense,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,residentia s. ignatii,residentia s. ignatii,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,na,na,na,na
Hermannus Blumensaat Connolly,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael P. Dowling,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas O'Callaghan,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus Giacobbi,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael O'Neil,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Dominicus Coppens,na,collegium maximum woodstockiense,na,na,na,collegium washingtoniense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jeremias Fullerton,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Fox Driscoll,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aloysius Garceau,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aloysius Jacquet,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Angelus Coltelli,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hubertus Heidenreich Rigues,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael Roy,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"K. Meyer, Cornelius B. Augustinus",na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus J. Gaffney,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus Cummings,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus Powers Klocker,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Rogers,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Henricus De Laak,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus Corbley,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus V. O'Connell,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Hart,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Rodock,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,collegium caesariense sancti petri,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Philippus Cappel,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Murphy,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"De Stockalper, Aloysius Alexius",na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aloysius Rotter,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Dionysius Mccarthy,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Dionysius O'Sullivan,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus Spillane,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Emmanuel De La,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Franciscus Berberich,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Georgius Hoeffer,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hayes Gulielmus,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Mullan,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Tyrrell,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"B. Kokenge, Joannes Joannes",na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes D. Collins,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes F.,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Quirk,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Galligan,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus F. Weber O'Gorman,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus Hann,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus Woods,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Martinus Hollohan,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael Conway,na,collegium maximum woodstockiense,collegium caesariense sancti petri,collegium washingtoniense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael O'Connor,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Boyle,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Kernan,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Mcquillan,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius O'Leary,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,degentes extra provinciam,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Gasson,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Haggerty,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium georgiopolitanum,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Sherman,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Timotheus McLoughlin,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Barrett Cust,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Daniel Fortescue,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,residentia philadelphiensis ss. nominis jesu,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Hill,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Joannes Mattingly,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Ekins,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Cemens S. Lancaster,na,residentia ad leonardtown,residentia ad leonardtown,domus probationis fridericopolitana,residentia ad leonardtown,residentia ad leonardtown,residentia ad leonardtown,na,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,collegium washingtoniense,na,collegium washingtoniense,collegium washingtoniense,na,na,na,na,na,na,na
Bernardinus F. Wiget,na,residentia s. thomae,na,residentia s. thomae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
D. Leo Brand,na,collegium bostoniense,collegium bostoniense,na,collegium bostoniense,collegium bostoniense,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Eduardus B. O'Kelly,na,collegium bostoniense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Robertus Dockrey,na,collegium bostoniense,collegium bostoniense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes J. Mcauley,na,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Quill,na,collegium s. crucis,collegium s. crucis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium sancti francisci xaverii,domus probationis fridericopolitana,collegium sancti francisci xaverii,collegium caesariense sancti petri,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,na,na,na,na,na
Gulielmus J. Tynan,na,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,domus probationis fridericopolitana,collegium baltimorense,collegium baltimorense,residentia bostoniensis ad s. mariae,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,schola praeparatoria collegii georgiopolitani,residentia s. thomae
Jacobus N. Collins,na,collegium s. crucis,na,na,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus X. Sadlier,na,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius H. Brennan,na,collegium s. crucis,collegium s. crucis,collegium washingtoniense,collegium sancti francisci xaverii,collegium washingtoniense,domus probationis fridericopolitana,residentia leonardopolitana s. aloisii,residentia providentiana ad s. joseph,residentia providentiana ad s. joseph,residentia providentiana ad s. joseph,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,collegium baltimorense,collegium baltimorense,collegium georgiopolitanum,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis
Antonius Beckmann,na,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,na,na,na,na,na,na,na,na,na
Jacobus Strain,na,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na,na
Joannes H. Hammill,na,collegium s. crucis,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium baltimorense,na,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,schola alta baltimorensis,schola alta baltimorensis
Joannes J. O'Neill,na,collegium s. crucis,collegium s. crucis,collegium s. crucis,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Michael Loftus,na,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Petrus Flanagan,na,residentia conewaginensis,residentia conewaginensis,collegium sancti francisci xaverii,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Petrus Manns,na,residentia conewaginensis,na,na,residentia conewaginensis,residentia conewaginensis,residentia conewaginensis,residentia conewaginensis,residentia conewaginensis,na,residentia conewaginensis,na,na,na,na,na,na,na,na,na,na,na
David A. Merrick,na,residentia philadelphiensis ss. nominis jesu,residentia neo eboracensis ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
L. Hippolytus Gache,na,residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,collegium georgiopolitanum,collegium georgiopolitanum,collegium fordhamense,residentia trojana ad s. josephi,residentia trojana ad s. josephi,residentia trojana ad s. josephi,residentia trojana ad s. josephi,na,na,na,na,na,na,na,na,na,na,na
Ricardus J. Whyte,na,residentia alexandrina,na,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Joannes Repet Prendergast,na,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Daniel Miss. Haugh,na,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Chester,na,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius F. Dealy,na,na,collegium sancti francisci xaverii,collegium fordhamense,na,collegium fordhamense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,residentia philadelphiensis ss. nominis jesu,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Fabianus S. Noel,na,na,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium maximum woodstockiense,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas J. A. Freeman,na,na,collegium fordhamense,na,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Michael H. O'Brien,na,na,collegium fordhamense,collegium georgiopolitanum,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,domus probationis fridericopolitana,collegium bostoniense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Jeremias F. X. Coleman,na,na,collegium fordhamense,collegium bostoniense,collegium maximum woodstockiense,collegium maximum woodstockiense,residentia bostoniensis ad s. mariae,collegium fordhamense,domus probationis fridericopolitana,residentia whitemarshensis,residentia whitemarshensis,na,na,na,na,na,na,na,na,na,na,na
Joannes A. Chester,na,na,collegium fordhamense,collegium fordhamense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium fordhamense,domus probationis fridericopolitana,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na
Dionysius Considine,na,na,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Nicolaus Paradise,na,na,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na
Matthaeus Devine,na,na,domus probationis manresana,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,domus probationis poughkeepsiensis,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,na,na,na,na,na,na,na
Petrus Tansey,na,na,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,na,na,na,na,na,na,na,na,na,na,na
Henricus Judge,na,na,domus probationis manresana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus Deck,na,na,domus probationis manresana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Burke,na,na,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael Donar,na,na,domus probationis manresana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus Corbett,na,na,domus probationis manresana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium washingtoniense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Franciscus Lubbe,na,na,domus probationis manresana,degentes extra provinciam,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus R. Gray,na,na,domus probationis manresana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium baltimorense,collegium georgiopolitanum,na,collegium caesariense sancti petri,collegium caesariense sancti petri,na,na,na,na,na,na,na,na,na,na,na
Carolus Mackin,na,na,domus probationis manresana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium washingtoniense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus J. Kerrill,na,na,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Albertus A. Ulrich,na,na,domus probationis manresana,domus probationis manresana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium s. crucis,collegium s. crucis,collegium bostoniense,na,na,na,na,na,na,na,na,na,na,na
Bernardus E. Mccusker,na,na,domus probationis manresana,domus probationis manresana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Fenton,na,na,domus probationis manresana,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Petrus J. O'Carroll,na,na,domus probationis manresana,domus probationis manresana,domus probationis fridericopolitana,collegium georgiopolitanum,collegium georgiopolitanum,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,schola alta baltimorensis
Jacobus H. Moffit,na,na,domus probationis manresana,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus F. Roche,na,na,domus probationis manresana,domus probationis manresana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium georgiopolitanum,na,na,collegium baltimorense,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na
Patritius Fitzgerald,na,na,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus Mcnulty,na,na,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na
Patritius Mccann,na,na,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na
Joannes J. Welch,na,na,domus probationis manresana,domus probationis fridericopolitana,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia s. ignatii,collegium baltimorense,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,na,na,domus probationis yonkersensis,domus probationis yonkersensis,domus probationis stockbridgensis,domus probationis stockbridgensis
Joannes Doran,na,na,domus probationis manresana,domus probationis manresana,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na
Alanus Mcdonell,na,na,residentia trojana ad s. josephi,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
