,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Georgius Lucas,collegium sancti francisci xaverii,collegium fordhamense,collegium fordhamense,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus Xav,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam
Hugo Langlois,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Bapt,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Andreas Rapp,collegium sancti francisci xaverii,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,residentia goshenhoppenensis,residentia goshenhoppenensis,residentia bostoniensis ad ss. trinitatis,residentia neo eboracensis ad s. joseph,domus probationis fridericopolitana,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,na,na,na,na,na,na,na,na,na,na,na
Joannes Whitney,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Petrus Cooney,collegium sancti francisci xaverii,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aemilius Risler,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Conradus Meyer,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus Mccloskey,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Rache,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Dowdle,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
