First,Middle,Last
Georgius,,Lucas
Hugo,,Langlois
Andreas,,Rapp
Joannes,,Whitney
Petrus,,Cooney
Aemilius,,Risler
Conradus,,Meyer
Franciscus,,McCloskey
Gulielmus,,Rache
Joannes,,Dowdle
Joannes,,Flood
Joannes,,Welsh
Josephus,,Koerner
Mathaeus,,O'Connor
Michael,,Rogers
Nicolaus,,Litique
Onesymus,,Thibault
Patritius,,Souren.
Senanus,,Mangan
Theodulus,,Vachon
Thomas,,Gormley
Thomas,,McShane
Timotheus,,McNamara
Joannes,,Fitzpatrick
Ludovicus,,Jouin
Michael,,Driscol
Nicolaus,,Hanrahan
Patritius,,O'Reilly
Joannes,,McAuley
Alfredus,,Brosnan
Gulielmus,,Cornell
Franciscus,,Gunn
Josephus,,Zwinge
Carolus,,Williams
Joannes,,Keveney
Daniel,,McElhinney
Henricus,,Kavanagh
Jeremias,,Coleman
Joannes,,Scully
Thomas,,Wallace
Antonius,,Dooher
Dionysius,,Hogan
Fridolinus,,Haefele
Gulielmus,,Hennen
Henricus,,McCabe
Jacobus,,Early
Jacobus,,Egan
Jacobus,,Mallen
Joannes,,Quin
Joannes,,Sheerin
Josephus,,Bradley
Josephus,,Byrne
Julius,,Mace
Leo,,Kutter
Ludovicus,,Kaiser
Matthaeus,,Gilshannen
Mauritius,,Roach
Nicholaus,,Paradise
Patritius,,Corrigan
Patritius,,Muldoon
Patritius,,Smith
Philippus,,Ledore
Thomas,,Hallahan
Joannes,,Treanor
David,,Walker
Allanus,,McDonell
Carolus,,Petitdemange
Gulielmus,,Moylan
Carolus,,Brendle
Elias,,Cote
Joel,,Miville
Michael,,Kays
Josephus,,Durthaller
Joannes,,Hackspiel
Josephus,,Busam
Isidorus,,Daubresse
Augustus,,Langcake
Joannes,,Finnegan
Patritius,,Gleason
Raphael,,Dewey
Raphael,,O'Connell
Antonius,,Maas
Michael,,Conway
Dionysius,,McCarthy
Patritius,,Kernan
Dionysius,,O'Sullivan
Patritius,,Murphy
Eduardus,,Spillane
Thomas,,Haggerty
Eduardus,,Magrath
Josephus,,Renaud
Gulielmus,,Duffy
Josephus,,Stadelman
Henricus,,Rache
Ludov,,Weber
Jacobus,,Mulvaney
Patritius,,Mulry
Joannes,,Pittar
Thomas,,Callanan
Dominicus,,Leischner
Franciscus,,Vachon
Gulielmus,,Donovan
Jacobus,,McCloskey
Jeremias,,Flaherty
Joannes,,Langan
Joannes,,Paffe
Patritius,,Farrell
Ricardus,,Purcell
Gulielmus,,Duffy
Stephanus,,Bueno
Joannes,,Nicholson
Gulielmus,,Curley
Joannes,,Condon
Carolus,,Murray
Joannes,,Greene
Petrus,,Kayser
Thomas,,Harlin
Matthaeus,,O'Rourke
Gulielmus,,Coyle
Josephus,,Hanselman
Michael,,Cunningham
Patritius,,Deane
Joannes,,Griffin
Cornelius,,Clifford
Eduardus,,Kane
Gulielmus,,Cunningham
Gulielmus,,Ennis
Gulielmus,,McDonough
Gulielmus,,Richmond
Jacobus,,Mugan
Patritius,,Casey
Ricardus,,Ryan
Thomas,,Cryan
Joannes,,Brosnan
Rufus,,Duff
Geraldus,,Bergan
Eduardus,,Reynaud
Joannes,,O'Connell
Joannes,,Quin
Michael,,Yungfleisch
Robertus,,Dockery
Simon,,Murphy
Geraldus,,Barry
Thomas,,Murray
Jacobus,,O'Brien
Josephus,,Mooney
Petrus,,Tansey
Jacobus,,Dwyer
Petrus,,Hayes
Josephus,,Loyzance
Florentinus,,Achard
Franciscus,,Marechal
Josephus,,Delabays
Michael,,Nash
Martinus,,Ealy
Thomas,,Hogue
Jacobus,,Clark
Jacobus,,Curley
Franciscus,,Goeding
Aloysius,,Roth
Antonius,,McNerney
Bartholomaeus,,Doyle
Daniel,,Clarke
Gulielmus,,Dugan
Gulielmus,,McElaney
Henricus,,Rimbaugh
Jacobus,,Marley
Jacobus,,O'Sullivan
Joannes,,Daly
Patritius,,Sears
Ricardus,,Dugan
Thaddaeus,,McKenna
Thomas,,Dougherty
Thomas,,Gavan
Thomas,,O'Connor
Thomas,,Shanahan
Aloysius,,Rocoffort
Martinus,,Whelan
Patritius,,Forhan
Daniel,,Lynch
Cornelius,,Gillespie
Cornelius,,Gillespie
Antonius,,Romano
Thomas,,Kelly
Jacobus,,Simeon
Daniel,,McLaughlin
Edmundus,,Shanahan
Joannes,,Fortescue
Laurentius,,Gutting
Patritius,,Cassidy
Ricardus,,O'Connell
Timotheus,,Sullivan
Bernardus,,Toale
Alexander,,Mascia
Aloysius,,Benassai
Eduardus,,Connolly
Franciscus,,O'Neill
Fridericus,,Hagemann
Abraham,,Emerick
Gulielmus,,Gannon
Gulielmus,,Hayes
Gulielmus,,Stanton
Timotheus,,Barrett
Thomas,,McLoughlin
Blasius,,Walch
Franciscus,,Bausenwein
Jacobus,,Doyle
Joannes,,Derks
Joannes,,Hogan
Joannes,,O'Sullivan
Joannes,,Rowley
Joannes,,Sheehy
Martinus,,O'Neill
Michael,,Carroll
Michael,,Ryan
Ricardus,,Barrett
Thaddaeus,,Begley
Thomas,,Kennedy
Jacobus,,Noonan
Thomas,,Carberry
Joannes,,Hilbert
Martinus,,Ledogar
Jacobus,,Perron
Aloysius,,Sabetti
Benedictus,,Sestini
Blasius,,Schiffini
Carmelus,,Polino
Carolus,,Piccirillo
Dominicus,,Pantanella
Gulielmus,,Loague
Januarius,,Degni
Salvator,,Brandi
Alphonsus,,Dufour
Casparus,,Leib
Gulielmus,,Kinsella
Henricus,,Moeller
Hieronymus,,Daugherty
Jacobus,,Becker
Patritius,,Murphy
Timotheus,,O'Leary
Aloysius,,Robaut
Daniel,,McErlane
Hermannus,,Blumensaat
Jacobus,,Hoeffer
Jacobus,,O'Sullivan
Nicolaus,,Schlechter
Thomas,,Fitzgerald
Eugenius,,McSwyney
Fabianus,,Garbely
Petrus,,Flanagan
Samuel,,Cahill
Aloysius,,Kuhnen
Eduinus,,Kelly
Hugo,,Finnegan
Ludovicus,,Leblanc
Patritius,,O'Connell
Thomas,,Flynn
Augustinus,,Hugh
Carolus,,Klein
Eduardus,,McTammany
Franciscus,,Fullerton
Jeremias,,Driscoll
Joannes,,Fox
Joannes,,Pahls
Alexander,,Freund
Florentinus,,Bechtel
Gulielmus,,Lawlor
Hermannus,,Meiners
Joannes,,O'Rourke
Laurentius,,Kavanagh
Patritius,,Mulconry
Robertus,,Stein
Alfredus,,Blatter
Augustinus,,Effinger
Eduardus,,Gaffney
Franciscus,,Craft
Franciscus,,Cummings
Franciscus,,Klocker
Fridericus,,Tourtelot
Gulielmus,,Clark
Gulielmus,,Power
Gulielmus,,Quigley
Gulielmus,,Walsh
Jacobus,,Power
Joannes,,Clarke
Joannes,,Wynne
Nicolaus,,Davis
Patritius,,Casey
Patritius,,Kelly
Philippus,,Cappel
Thomas,,Murphy
Alexander,,Walsh
Cajetanus,,Campone
Cornelius,,Reardon
Daniel,,Fortescue
Daniel,,Mason
Eduardus,,Green
Gulielmus,,Hil
Henricus,,Dugan
Jacobus,,O'Kane
Joannes,,Cunningham
Joannes,,Siebers
Michael,,Foley
Michael,,Keenan
Patritius,,Gallagher
Patritius,,Gilmore
Patritius,,McGlone
Raphael,,Vezza
Theodorus,,Vorbrinck
Thomas,,Crowley
Thomas,,Ekins
Arthurus,,Gormley
Livius,,Vigilante
Bernardus,,Gaffney
Basilius,,Pacciarini
Jacobus,,McDonnell
Bernardus,,Wiget
Gulielmus,,Scanlan
Jacobus,,Major
Jacobus,,Cotting
Mauritius,,Cavanagh
Robertus,,Fulton
Alphonsus,,Charlier
Jeremias,,O'Connor
Joannes,,Bapst
Nicolaus,,Russo
Timotheus,,Brosnahan
Eduardus,,Kelly
Jacobus,,McCloskey
Joannes,,Curran
Joannes,,Moriarty
Timotheus,,Fealy
Joannes,,Lynch
Joannes,,McElroy
Ignatius,,Bellwalder
Caspar,,Menke
Albertus,,Peters
Gulielmus,,Tynan
Gulielmus,,Tynan
Antonius,,Beckman
Jacobus,,O'Neill
Jacobus,,Strain
Joannes,,Farrell
Michael,,Hogan
Michael,,Lostus
Michael,,O'Sullivan
Joannes,,McQuaid
Georgius,,Kenny
Eduardus,,Doucet
Michael,,Flynn
Franciscus,,Smith
Ignatius,,Renaud
Jacobus,,Fagan
Jacobus,,Wellworth
Georgius,,Fargis
Jacobus,,Smith
Robertus,,Pardow
Joannes,,Cullin
Joannes,,Freeth
Josephus,,Kain
Nicholaus,,Schu
Patritius,,Brady
Patritius,,Ranahan
Josephus,,Enders
Franciscus,,Casey
Georgius,,Villiger
Petrus,,Manus
Thomas,,Finnegan
Hugo,,McGunegle
Michael,,Donohue
Augustinus,,Bally
Burchardus,,Villiger
Alphonsus,,Coppens
Carolus,,Cicaterri
Franciscus,,McAtee
Robertus,,Hamilton
Aloysius,,Romano
Patritius,,Duddy
Joannes,,Dowling
Eduardus,,Donnelly
Michael,,Cashman
Dionysius,,O'Kane
Michael,,Nash
Thomas,P.,Kernan
Henricus,,Van Rensselaer
Thomas,,Campbell
Jacobus,,Casey
Petrus,,Kerr
Gulielmus,,Treacy
Georgius,,Quin
Joannes,,Broderick
Patritius,,Claven
Matthaeus,,O'Rourke
Benedictus,,Guldner
Petrus,,Cassidy
Joannes,,Prendergast
Gulielmus,,Pardow
Franciscus,W.,McLaughlin
Michael,,Mulry
Michael,J.,Hughes
Edmundus,J.,Voung
Augustus,,Muller
ANTONIUS,,MAAS
Jacobus,J.,Carlin
Josephus,H.,Ramspacher
Alphonsus,J.,Donlon
Jacobus,J.,Carlin
Josephus,J.,Himmel
David,W.,Hearn
Josephus,,Zwinge
Gulielmus,J.,Ennis
Josephus,M.,Renaud
Carolus,W.,Lyons
Georgius,A.,Keelan
Gulielmus,J.,Conway
Michael,F.,Byrne
Josephus,Faber,
Jacobus,F. X.,Mulvaney
Josephus,H.,Rockwell
Thomas,E.,Murphy
Georgius,J.,Krim
Joannes,J.,Greene
Georgius,J.,Krim
Thomas,J.,Gartland
Petrus,W.,Leonard
Carolus,P.,Gisler
Josephus,A.,Mulry
Jacobus,F.,McDermott
Thomas,J.,McCluskey
Henricus,J.,Lyons
Alphonsus,J.,Donlon
David,J.,Roche
Eduardus,M.,Corbett
Josephus,J.,Himmel
Laurentius,J.,Kelly
Thomas,F.,White
Thomas,S.,Harlin
David,W.,Hearn
Augustinus,A.,Miller
Gulielmus,H.,Walsh
Joannes,H.,O'Rourke
Joannes,,Corbett
J.,Carolus,Davey
Benedictus,J.,Smith
Franciscus,J.,Lamb
Georgius,A.,Pettit
Thomas,J.,Gannon
Geraldus,A.,Dillon
Jacobus,B.,Matthews
Carolus,F.,Bridges
Josephus,N.,Dinand
Joannes,J.,Fleming
Eugenius,DeL.,McDonnell
Joannes,C.,Geale
Josephus,F.,Hanselman
Josephus,A.,McEneany
Joannes,J.,Collins
Joannes,,Harpes
Josephus,,McLoughlin
Eduardus,D.,Boone
Timotheus,,Brosnahan
Alphonsus,,Coppens
Joannes,M.,Coughlan
Thomas,J.,Delihant
